Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,KH-5220-A56_U.FL,U.FL_Hirose_U.FL-R-SMT-1_Vertical,96.9,-84.1,0,top
C2,10u,C_0603,72.9,-61.15,270,top
C3,47u,C_0805,61.95,-94.05,270,top
C4,10u,C_0603,60.85,-89.2,180,top
C5,100n,C_0402,65.8,-86.3,90,top
C6,100n,C_0402,64.95,-86.3,90,top
C7,2.2u,C_0603,62.5,-86.45,0,top
C8,1n,C_0402,69.25,-95.85,270,top
C9,47u,C_0805,60.4,-94.05,270,top
C10,47u,C_0805,60.8,-91.2,90,top
C11,10u,C_0603,62.15,-91.4,90,top
C12,100n,C_0805,72,-70.8,180,top
C13,10u,C_0603,63.65,-96.6,270,top
C14,10u,C_0603,68.25,-96.15,270,top
C15,10u,C_0603,72,-93.5,0,top
C16,100n,C_0402,70.6,-89.85,270,top
C17,100n,C_0402,67.2,-87.05,0,top
C18,470n,C_0402,60.9,-86.65,90,top
C19,10u,C_0603,67.1,-96.15,270,top
C20,10u,C_0603,72,-92.35,0,top
C21,10u,C_0603,75,-89.8,270,top
C22,10u,C_0603,67.5,-82.7,0,top
C23,10u,C_0603,70.05,-86.2,90,top
C24,10u,C_0603,61.25,-88.05,180,top
C25,10u,C_0603,72,-86.8,0,top
C26,10u,C_0603,65.95,-96.15,270,top
C27,10u,C_0603,64.8,-96.15,270,top
C28,10u,C_0603,72,-87.95,0,top
C29,10u,C_0603,71.8,-85.65,0,top
C30,100n,C_0402,72.75,-76.55,180,top
C32,100n,C_0402,91.1,-74.2,0,top
C34,100n,C_0402,84.2,-80.2,0,top
C36,10u,C_0603,72.6,-80.95,180,top
C38,10u,C_0603,85.1,-79.2,0,top
C39,10u,C_0603,91.4,-73.2,0,top
C40,1p,C_0402,95.55,-85.6,90,top
C41,1p,C_0402,94.7,-85.6,90,top
C42,10p,C_0402,93.8,-85,270,top
C43,10u,C_0603,91,-81.5,45,top
C44,100n,C_0402,90,-81,45,top
C45,10u,C_0603,76.1,-82.4,45,top
C46,10u,C_0603,78.1,-91.6,270,top
C47,100n,C_0402,76.6,-83.3,45,top
C48,DNP,C_0402,78.9,-90.2,315,top
C49,10u,C_0603,82.7,-79.2,0,top
C50,100n,C_0402,78,-76.5,180,top
C51,100n,C_0402,92.8,-71.3,180,top
C52,100n,C_0402,91.1,-71,0,top
C53,100n,C_0402,77.2,-75.65,180,top
C54,100n,C_0402,92.8,-70.45,180,top
C55,100n,C_0402,78.5,-75.2,270,top
C56,10u,C_0603,75.2,-74.3,180,top
C58,18p,C_0402,76.1,-72.35,180,top
C59,18p,C_0402,74.55,-69.25,270,top
C61,18p,C_0402,74.627208,-67.248528,90,top
C62,18p,C_0402,74.627208,-65.551472,270,top
C63,100n,C_0402,75.5,-73.3,180,top
C64,100n,C_0402,77.2,-74.8,180,top
C65,100n,C_0805,72,-67.3,180,top
C66,100n,C_0805,72,-64.1,180,top
C67,100n,C_0805,72,-65.7,180,top
C68,1n,C_0805,71,-74.7,180,top
C69,18p,C_0402,93.05,-77.1,135,top
C70,18p,C_0402,93.9,-80.7,225,top
C71,10u,C_0603,69.4,-61.8,90,top
D1,ESD5302F,SOT-23,95.45,-76.65,0,top
D2,LED,LED_0603_1608Metric,70.5,-54.75,0,top
D3,LED,LED_0603_1608Metric,70.5,-56.15,0,top
D4,P6SMB6.8CA,D_SMB,62.4,-83.15,0,top
D5,LED,LED_0603_1608Metric_Castellated,55.85,-90.6,0,top
D6,ESD5302F,SOT-23,64.35,-79.15,180,top
D7,YEL,LED_0603_1608Metric_Castellated,70.5,-57.55,0,top
D8,GRN,LED_0603_1608Metric_Castellated,70.5,-58.95,0,top
FB1,FERRET,R_0805,71.55,-61.35,90,top
J2,SD,microSD_HC_Hirose_DM3D-SF,80.5,-58.25,180,top
J3,USB,918-418K2022Y40004,55.85,-85.25,270,top
J4,RJ45,1-338088-3,60.75,-68.9,0,top
J5,MIPI,FH35C-25S,95.7,-65.1,90,top
